"Country","Area (sq. km)","Population'21","Inflation Rate'22","GDP'21","",""
"Australia","7688287","25750198","3.50%","56100  USD","",""
"Austria","83883","8949000","5.42%","49000 USD","",""
"Brazil","8358140","213372000","10.46%","11100 USD","",""
"Germany","357022","83222442","7.30%","50761 USD","",""
"Russia","17125191","145912025","8.95%","11787 USD","",""
"USA","9147590","332915073","7.96%","69734 USD","",""
